"Location: W086 55, N40 26",,,,,Astronomical Applications Dept.
"WEST LAFAYETTE, INDIANA",,,,,U. S. Naval Observatory
Rise and Set for the Sun for 2018,,,,,"Washington, DC  20392-5420"
,,,,,
"Eastern Standard Time, adjusted for Daylight Saving Time on Days of Year 70 - 307",,,,,
# Day of Week denotes the Day of Year's weekday using a number.,,,,,
"# Sunday = 1, Monday = 2, etc. ",,,,,
Day of Year,Sunrise Time (hhmm),Sunset Time (hhmm),Day of Week,,
269,739,1938,4,,
270,740,1936,5,,
271,741,1934,6,,
272,742,1933,7,,
273,743,1931,1,,
274,744,1929,2,,
275,745,1928,3,,
276,746,1926,4,,
277,747,1924,5,,
278,748,1923,6,,
279,749,1921,7,,
280,750,1920,1,,
281,752,1918,2,,
282,753,1916,3,,
283,754,1915,4,,
284,755,1913,5,,
285,756,1912,6,,
286,757,1910,7,,
287,758,1909,1,,
288,759,1907,2,,
289,800,1906,3,,
290,801,1904,4,,
291,802,1903,5,,
292,803,1901,6,,
293,804,1900,7,,
294,805,1858,1,,
295,806,1857,2,,
296,808,1856,3,,
297,809,1854,4,,
298,810,1853,5,,
299,811,1852,6,,
300,812,1850,7,,
301,813,1849,1,,
302,814,1848,2,,
303,816,1847,3,,
304,817,1845,4,,
305,818,1844,5,,
306,819,1843,6,,
307,820,1842,7,,
308,721,1741,1,,
309,722,1740,2,,
310,724,1738,3,,
311,725,1737,4,,
312,726,1736,5,,
313,727,1735,6,,
314,728,1734,7,,
315,729,1734,1,,
316,731,1733,2,,
317,732,1732,3,,
318,733,1731,4,,
319,734,1730,5,,
320,735,1729,6,,
321,736,1729,7,,
322,738,1728,1,,
323,739,1727,2,,
324,740,1726,3,,
325,741,1726,4,,
326,742,1725,5,,
327,743,1725,6,,
328,744,1724,7,,
329,746,1724,1,,
330,747,1723,2,,
331,748,1723,3,,
332,749,1723,4,,
333,750,1722,5,,
334,751,1722,6,,
335,752,1722,7,,
336,753,1721,1,,
337,754,1721,2,,
338,755,1721,3,,
339,756,1721,4,,
340,757,1721,5,,
341,758,1721,6,,
342,758,1721,7,,
343,759,1721,1,,
344,800,1721,2,,
345,801,1721,3,,
346,802,1721,4,,
347,802,1722,5,,
348,803,1722,6,,
349,804,1722,7,,
350,805,1722,1,,
351,805,1723,2,,
352,806,1723,3,,
353,806,1724,4,,
354,807,1724,5,,
355,807,1724,6,,
356,808,1725,7,,
357,808,1726,1,,
358,809,1726,2,,
359,809,1727,3,,
360,810,1727,4,,
361,810,1728,5,,
362,810,1729,6,,
363,810,1730,7,,
364,811,1730,1,,
365,811,1731,2,,
